Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"SRPBRender.ApplyShader";0.0158;0.0158;0.0158;177;177;177;13;13;0.0157999992370605;0.0158;0.0158;0.0158;3;3;3;3;1;177;0.0013;0.0096;177;177;0.0158
"SSAO";0.0152;0.0152;0.0152;177;177;177;9;9;0.0152000002563;0.0152;0.0152;0.0152;1;1;1;1;1;177;0.0152;0.0152;177;177;0.0152
"DrawOpaqueObjects";0.0151;0.0151;0.0151;177;177;177;9;9;0.0151000004261732;0.0151;0.0151;0.0151;1;1;1;1;1;177;0.0151;0.0151;177;177;0.0151
"Inl_UpdateOccluders";0.0151;0.0151;0.0151;177;177;177;8;8;0.0150999994948506;0.0151;0.0151;0.0151;2;2;2;2;1;177;0.0045;0.0106;177;177;0.0151
"ObjectDispatcher.FilterInstancesAndCreateScriptingArray";0.0151;0.0151;0.0151;177;177;177;7;7;0.0150999994948506;0.0151;0.0151;0.0151;5;5;5;5;1;177;0;0.0149;177;177;0.0151
"EditorConnection.PollAllCustomMessages";0.0144;0.0144;0.0144;177;177;177;5;5;0.0143999997526407;0.0144;0.0144;0.0144;1;1;1;1;1;177;0.0144;0.0144;177;177;0.0144
"SRPBShadow.ApplyShader";0.0141;0.0141;0.0141;177;177;177;14;14;0.0141000002622604;0.0141;0.0141;0.0141;4;4;4;4;1;177;0.0012;0.0097;177;177;0.0141
"EditorResources.Load";0.0137;0.0137;0.0137;177;177;177;4;4;0.0137000000104308;0.0137;0.0137;0.0137;1;1;1;1;1;177;0.0137;0.0137;177;177;0.0137
"Inl_RenderPipeline.EndContextRendering";0.0137;0.0137;0.0137;177;177;177;5;5;0.0137000000104308;0.0137;0.0137;0.0137;1;1;1;1;1;177;0.0137;0.0137;177;177;0.0137
"Inl_Setup Camera Properties";0.0137;0.0137;0.0137;177;177;177;8;8;0.0137000000104308;0.0137;0.0137;0.0137;2;2;2;2;1;177;0.0031;0.0106;177;177;0.0137
"Default World Unity.Entities.EndFixedStepSimulationEntityCommandBufferSystem";0.0136;0.0136;0.0136;177;177;177;7;7;0.0136000001803041;0.0136;0.0136;0.0136;1;1;1;1;1;177;0.0136;0.0136;177;177;0.0136
"Vegetation Depth Pass";0.0136;0.0136;0.0136;177;177;177;9;9;0.0136000001803041;0.0136;0.0136;0.0136;1;1;1;1;1;177;0.0136;0.0136;177;177;0.0136
"GPUResidentDrawer.ProcessRenderers";0.0135;0.0135;0.0135;177;177;177;5;6;0.0135000003501773;0.0135;0.0135;0.0135;2;2;2;2;1;177;0.0032;0.0103;177;177;0.0135
"Inl_UniversalRenderPipeline.CreateRenderingData";0.0134;0.0134;0.0134;177;177;177;7;7;0.013399999588728;0.0134;0.0134;0.0134;1;1;1;1;1;177;0.0134;0.0134;177;177;0.0134
"Default World Unity.Entities.WorldUpdateAllocatorResetSystem";0.0129;0.0129;0.0129;177;177;177;6;6;0.0128999995067716;0.0129;0.0129;0.0129;1;1;1;1;1;177;0.0129;0.0129;177;177;0.0129
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::DebugUpdater.Update() [Invoke]";0.0129;0.0129;0.0129;177;177;177;5;5;0.0128999995067716;0.0129;0.0129;0.0129;1;1;1;1;1;177;0.0129;0.0129;177;177;0.0129
"Default World Unity.Scenes.ResolveSceneReferenceSystem";0.0128;0.0128;0.0128;177;177;177;7;7;0.0127999996766448;0.0128;0.0128;0.0128;1;1;1;1;1;177;0.0128;0.0128;177;177;0.0128
"InstanceOcclusionTest";0.0126;0.0126;0.0126;177;177;177;9;9;0.0126000000163913;0.0126;0.0126;0.0126;3;3;3;3;1;177;0.0016;0.0085;177;177;0.0126
